월,구분,항목,계정,금액
2026-01,고정지출,4대보험 납부료,,3721750
2026-01,고정지출,AI 구독료,,130000
2026-01,고정지출,급여,,23170360
2026-01,고정지출,기부금,,100000
2026-01,고정지출,박스비 및 라벨 비용,,1300000
2026-01,고정지출,보험비,,480495
2026-01,고정지출,세무사 기장료,,429000
2026-01,고정지출,식대,,1000000
2026-01,고정지출,월세,,2640000
2026-01,고정지출,자사몰 관련(서버 스마트싱크 등),,174790
2026-01,고정지출,전기세,,200000
2026-01,고정지출,차량 렌트비,,1926200
2026-01,마케팅비,그레비테이트,,9000000
2026-01,마케팅비,네이버 검색광고,네이버,40455321
2026-01,마케팅비,최과장,,3000000
2026-02,고정지출,4대보험 납부료,,3721750
2026-02,고정지출,AI 구독료,,130000
2026-02,고정지출,급여,,23170360
2026-02,고정지출,기부금,,100000
2026-02,고정지출,박스비 및 라벨 비용,,1300000
2026-02,고정지출,보험비,,480495
2026-02,고정지출,세무사 기장료,,429000
2026-02,고정지출,식대,,1000000
2026-02,고정지출,월세,,2640000
2026-02,고정지출,자사몰 관련(서버 스마트싱크 등),,174790
2026-02,고정지출,전기세,,200000
2026-02,고정지출,차량 렌트비,,1926200
2026-02,마케팅비,그레비테이트,,9000000
2026-02,마케팅비,네이버 검색광고,네이버,35826775
2026-02,마케팅비,최과장,,3000000
2026-03,고정지출,4대보험 납부료,,3721750
2026-03,고정지출,AI 구독료,,130000
2026-03,고정지출,급여,,23170360
2026-03,고정지출,기부금,,100000
2026-03,고정지출,박스비 및 라벨 비용,,1300000
2026-03,고정지출,보험비,,480495
2026-03,고정지출,세무사 기장료,,429000
2026-03,고정지출,식대,,1000000
2026-03,고정지출,월세,,2640000
2026-03,고정지출,자사몰 관련(서버 스마트싱크 등),,174790
2026-03,고정지출,전기세,,200000
2026-03,고정지출,차량 렌트비,,1926200
2026-03,마케팅비,그레비테이트,,9000000
2026-03,마케팅비,네이버 검색광고,네이버,55255583
2026-03,마케팅비,최과장,,3000000
2026-04,고정지출,4대보험 납부료,,3721750
2026-04,고정지출,AI 구독료,,130000
2026-04,고정지출,급여,,23170360
2026-04,고정지출,기부금,,100000
2026-04,고정지출,박스비 및 라벨 비용,,1300000
2026-04,고정지출,보험비,,480495
2026-04,고정지출,세무사 기장료,,429000
2026-04,고정지출,식대,,1000000
2026-04,고정지출,월세,,2640000
2026-04,고정지출,자사몰 관련(서버 스마트싱크 등),,174790
2026-04,고정지출,전기세,,200000
2026-04,고정지출,차량 렌트비,,1926200
2026-04,마케팅비,그레비테이트,,9000000
2026-04,마케팅비,네이버 검색광고,네이버,58814184
2026-04,마케팅비,최과장,,3000000
2026-05,고정지출,4대보험 납부료,,3721750
2026-05,고정지출,AI 구독료,,130000
2026-05,고정지출,급여,,23170360
2026-05,고정지출,기부금,,100000
2026-05,고정지출,박스비 및 라벨 비용,,1300000
2026-05,고정지출,보험비,,480495
2026-05,고정지출,세무사 기장료,,429000
2026-05,고정지출,식대,,1000000
2026-05,고정지출,월세,,2640000
2026-05,고정지출,자사몰 관련(서버 스마트싱크 등),,174790
2026-05,고정지출,전기세,,200000
2026-05,고정지출,차량 렌트비,,1926200
2026-05,마케팅비,그레비테이트,,9000000
2026-05,마케팅비,네이버 검색광고,네이버,52789790
2026-05,마케팅비,최과장,,3000000
2026-06,고정지출,4대보험 납부료,,3721750
2026-06,고정지출,AI 구독료,,130000
2026-06,고정지출,급여,,23170360
2026-06,고정지출,기부금,,100000
2026-06,고정지출,박스비 및 라벨 비용,,1300000
2026-06,고정지출,보험비,,480495
2026-06,고정지출,세무사 기장료,,429000
2026-06,고정지출,식대,,1000000
2026-06,고정지출,월세,,2640000
2026-06,고정지출,자사몰 관련(서버 스마트싱크 등),,174790
2026-06,고정지출,전기세,,200000
2026-06,고정지출,차량 렌트비,,1926200
2026-06,마케팅비,그레비테이트,,9000000
2026-06,마케팅비,네이버 검색광고,네이버,51895705
2026-06,마케팅비,최과장,,3000000
2026-07,고정지출,4대보험 납부료,,3721750
2026-07,고정지출,AI 구독료,,130000
2026-07,고정지출,급여,,23170360
2026-07,고정지출,기부금,,100000
2026-07,고정지출,박스비 및 라벨 비용,,1300000
2026-07,고정지출,보험비,,480495
2026-07,고정지출,세무사 기장료,,429000
2026-07,고정지출,식대,,1000000
2026-07,고정지출,월세,,2640000
2026-07,고정지출,자사몰 관련(서버 스마트싱크 등),,174790
2026-07,고정지출,전기세,,200000
2026-07,고정지출,차량 렌트비,,1926200
2026-07,마케팅비,그레비테이트,,9000000
2026-07,마케팅비,네이버 검색광고,네이버,46658310
2026-07,마케팅비,최과장,,3000000
2026-08,고정지출,4대보험 납부료,,3721750
2026-08,고정지출,AI 구독료,,130000
2026-08,고정지출,급여,,23170360
2026-08,고정지출,기부금,,100000
2026-08,고정지출,박스비 및 라벨 비용,,1300000
2026-08,고정지출,보험비,,480495
2026-08,고정지출,세무사 기장료,,429000
2026-08,고정지출,식대,,1000000
2026-08,고정지출,월세,,2640000
2026-08,고정지출,자사몰 관련(서버 스마트싱크 등),,174790
2026-08,고정지출,전기세,,200000
2026-08,고정지출,차량 렌트비,,1926200
2026-08,마케팅비,그레비테이트,,9000000
2026-08,마케팅비,네이버 검색광고,네이버,49729484
2026-08,마케팅비,최과장,,3000000
2026-09,고정지출,4대보험 납부료,,3721750
2026-09,고정지출,AI 구독료,,130000
2026-09,고정지출,급여,,16440780
2026-09,고정지출,기부금,,100000
2026-09,고정지출,박스비 및 라벨 비용,,1300000
2026-09,고정지출,보험비,,480495
2026-09,고정지출,세무사 기장료,,429000
2026-09,고정지출,식대,,1000000
2026-09,고정지출,월세,,2640000
2026-09,고정지출,자사몰 관련(서버 스마트싱크 등),,174790
2026-09,고정지출,전기세,,200000
2026-09,고정지출,차량 렌트비,,1926200
2026-09,마케팅비,그레비테이트,,6210000
2026-09,마케팅비,네이버 검색광고,네이버,1892585
2026-09,마케팅비,최과장,,4000000
2026-10,고정지출,4대보험 납부료,,3721750
2026-10,고정지출,AI 구독료,,130000
2026-10,고정지출,급여,,16440780
2026-10,고정지출,기부금,,100000
2026-10,고정지출,박스비 및 라벨 비용,,1300000
2026-10,고정지출,보험비,,480495
2026-10,고정지출,세무사 기장료,,429000
2026-10,고정지출,식대,,1000000
2026-10,고정지출,월세,,2640000
2026-10,고정지출,자사몰 관련(서버 스마트싱크 등),,174790
2026-10,고정지출,전기세,,200000
2026-10,고정지출,차량 렌트비,,1926200
2026-10,마케팅비,그레비테이트,,6210000
2026-10,마케팅비,최과장,,4000000
2026-11,고정지출,4대보험 납부료,,3721750
2026-11,고정지출,AI 구독료,,130000
2026-11,고정지출,급여,,16440780
2026-11,고정지출,기부금,,100000
2026-11,고정지출,박스비 및 라벨 비용,,1300000
2026-11,고정지출,보험비,,480495
2026-11,고정지출,세무사 기장료,,429000
2026-11,고정지출,식대,,1000000
2026-11,고정지출,월세,,2640000
2026-11,고정지출,자사몰 관련(서버 스마트싱크 등),,174790
2026-11,고정지출,전기세,,200000
2026-11,고정지출,차량 렌트비,,1926200
2026-11,마케팅비,그레비테이트,,6210000
2026-11,마케팅비,최과장,,4000000
2026-12,고정지출,4대보험 납부료,,3721750
2026-12,고정지출,AI 구독료,,130000
2026-12,고정지출,급여,,16440780
2026-12,고정지출,기부금,,100000
2026-12,고정지출,박스비 및 라벨 비용,,1300000
2026-12,고정지출,보험비,,480495
2026-12,고정지출,세무사 기장료,,429000
2026-12,고정지출,식대,,1000000
2026-12,고정지출,월세,,2640000
2026-12,고정지출,자사몰 관련(서버 스마트싱크 등),,174790
2026-12,고정지출,전기세,,200000
2026-12,고정지출,차량 렌트비,,1926200
2026-12,마케팅비,그레비테이트,,6210000
2026-12,마케팅비,최과장,,4000000
