상품코드,상품명,카테고리,상품번호,원가,포장비,정산상품명,참고_누적매출,참고_판매수량,참고_이름수
NV-003,무릎보호대 슬개건 슬개골 러닝 보호대 무릎,무릎,5799070116,,,올투게더나우 무릎보호대 슬개건 슬개골 러닝 보호대 무릎 관절 아대 보호 밴드 한쪽 마사지볼,362953794,21747,9
NV-008,디스크 바른요 허리보호대 허리 복대,허리,6362662029,,,물리치료사가 판매하는 올투게더나우 디스크 바른요 허리보호대 허리 복대,151307430,6175,3
SHIP,배송비,배송비,,,,배송비,142496587,0,1
NV-002,손목보호대 손목 팔목 아대 TFCC 밴드,손목,6379382624,,,올투게더나우 손목보호대 손목 팔목 아대 TFCC 밴드 지지대 일자형 한쪽,116798046,8165,2
NV-004,팔꿈치보호대 테니스 배드민턴 배구 전완근 엘보우,팔꿈치,5798987044,,,올투게더나우 팔꿈치보호대 테니스 배드민턴 배구 전완근 엘보우 엘보 마사지볼,41404578,3510,3
NV-009,쫀쫀 손목 보호대 2p 1set,손목,8605463656,,,물리치료사가 판매하는 올투게더나우 쫀쫀 손목 보호대 2p 1set,37787352,2546,6
NV-025,허리 보호대 남자 여자 디스크 요추,허리,9921522776,,,올투게더나우 허리 보호대 남자 여자 디스크 요추 척추 더나은 복대 지지대 밴드,34582044,1060,4
NV-020,허리보호대 요추 디스크 복대 임산부 헬스,허리,5024717901,,,올투게더나우 허리보호대 요추 디스크 복대 임산부 헬스 밴드,29362380,1030,4
NV-011,스트랩 벡터 무릎보호대 슬개골 슬개건 보호대,무릎,13357149715,,,올투게더나우 스트랩 벡터 무릎보호대 슬개골 슬개건 보호대 러닝 축구 농구 배구 테니스 등산 무릅 밴드,23187106,1951,10
NV-016,블랙 1쌍,미분류,5614734297,,,블랙 1쌍,19828124,2206,3
NV-006,어깨 보호대 밴드 회전근개 쇄골 아대,어깨/목,6520261103,,,올투게더나우 어깨 보호대 밴드 회전근개 쇄골 아대 압박 헬스 골프,19634601,1353,1
NV-026,발아치패드 아치패드 주상골 발바닥 패드 밴드,발/발목,5524199797,,,올투게더나우 물리치료사가 판매하는 발아치패드 아치패드 주상골 발바닥 패드 밴드,16941429,1523,2
NV-045,베나 니슬리브 무릎 보호대 러닝 관절,무릎,12956712644,,,올투게더나우 베나 니슬리브 무릎 보호대 러닝 관절 아대 등산 헬스 운동 농구 테니스 배구 2p 1set,16478434,799,3
NV-028,디스크 블랙 허리보호대 허리복대,허리,6655032093,,,물리치료사가 판매하는 올투게더나우 디스크 블랙 허리보호대 허리복대,13500654,662,1
NV-030,올바른 척추 골프 여름용 갈비뼈 얇은,허리,8895292277,,,물리치료사가 판매하는 올투게더나우 올바른 척추 골프 여름용 갈비뼈 얇은 허리 보호대 복대,12142987,596,1
NV-010,8세대 영자 무릎 보호대 러닝 스쿼트,무릎,9046294613,,,올투게더나우 8세대 영자 무릎 보호대 러닝 스쿼트 테이핑 크로스핏 니슬리브 한쪽,10606525,485,1
NV-005,쫀쫀 엘보 팔꿈치 보호대 아대 골프,팔꿈치,6520479823,,,올투게더나우 물리치료사가 판매하는 쫀쫀 엘보 팔꿈치 보호대 아대 골프 테니스 배드민턴 헬스,9913177,655,1
