날짜,채널,계정,상품코드,주문건수,판매수량,매출,총매출
2026-01-01,네이버,네이버,NV-001,1,2,111598,120000
2026-01-01,네이버,네이버,NV-002,24,25,338277,365100
2026-01-01,네이버,네이버,NV-003,66,65,1110461,1200600
2026-01-01,네이버,네이버,NV-004,13,13,141860,153200
2026-01-01,네이버,네이버,NV-005,9,9,112543,121550
2026-01-01,네이버,네이버,NV-006,7,8,109746,118000
2026-01-01,네이버,네이버,NV-007,3,3,22898,24700
2026-01-01,네이버,네이버,NV-008,16,16,399079,431440
2026-01-01,네이버,네이버,NV-009,7,7,83146,90300
2026-01-01,네이버,네이버,NV-010,4,2,50782,55500
2026-01-01,네이버,네이버,NV-011,1,1,10996,11760
2026-01-01,네이버,네이버,NV-012,4,4,53280,57600
2026-01-01,네이버,네이버,NV-013,5,5,65106,70500
2026-01-01,네이버,네이버,NV-014,1,1,15455,16890
2026-01-01,네이버,네이버,NV-015,1,1,11594,12400
2026-01-01,네이버,네이버,NV-016,9,10,137124,148320
2026-01-01,네이버,네이버,NV-017,1,1,16693,17950
2026-01-01,네이버,네이버,NV-018,2,2,45331,49540
2026-01-01,네이버,네이버,NV-019,1,1,13634,14900
2026-01-01,네이버,네이버,NV-020,4,4,71611,77000
2026-01-01,네이버,네이버,NV-021,1,1,10432,11400
2026-01-01,네이버,네이버,NV-022,1,1,15464,16900
2026-01-01,네이버,네이버,NV-023,1,1,13512,14450
2026-01-01,네이버,네이버,NV-024,2,2,27515,29800
2026-01-01,네이버,네이버,NV-025,2,2,61705,66690
2026-01-01,네이버,네이버,NV-026,1,1,9220,9860
2026-01-01,네이버,네이버,NV-027,1,1,32848,35900
2026-01-01,네이버,네이버,NV-028,2,2,39620,42370
2026-01-01,네이버,네이버,NV-029,1,1,10566,11300
2026-01-01,네이버,네이버,SHIP,149,0,427784,441000
2026-01-02,네이버,네이버,NV-002,24,24,297021,320300
2026-01-02,네이버,네이버,NV-003,61,60,941854,1017250
2026-01-02,네이버,네이버,NV-004,13,13,145912,158700
2026-01-02,네이버,네이버,NV-005,5,5,60847,65650
2026-01-02,네이버,네이버,NV-006,6,6,82457,88500
2026-01-02,네이버,네이버,NV-007,1,1,18118,19800
2026-01-02,네이버,네이버,NV-008,24,23,574685,622150
2026-01-02,네이버,네이버,NV-009,6,6,83917,90300
2026-01-02,네이버,네이버,NV-010,2,3,83592,90750
2026-01-02,네이버,네이버,NV-012,3,3,40392,43200
2026-01-02,네이버,네이버,NV-013,1,1,13634,14900
2026-01-02,네이버,네이버,NV-015,1,1,11594,12400
2026-01-02,네이버,네이버,NV-016,4,4,31606,33960
2026-01-02,네이버,네이버,NV-017,1,1,16693,17950
2026-01-02,네이버,네이버,NV-018,5,7,81386,87570
2026-01-02,네이버,네이버,NV-019,1,1,13932,14900
2026-01-02,네이버,네이버,NV-020,5,5,88726,95280
2026-01-02,네이버,네이버,NV-023,1,2,27024,28900
2026-01-02,네이버,네이버,NV-025,1,1,31976,34200
2026-01-02,네이버,네이버,NV-027,1,1,32848,35900
2026-01-02,네이버,네이버,NV-028,2,3,60087,65190
2026-01-02,네이버,네이버,NV-030,2,3,120668,131400
2026-01-02,네이버,네이버,NV-031,1,1,25124,26870
2026-01-02,네이버,네이버,NV-032,2,2,49766,53800
2026-01-02,네이버,네이버,SHIP,134,0,387042,399000
2026-01-03,네이버,네이버,NV-002,22,22,314402,339600
2026-01-03,네이버,네이버,NV-003,45,45,728727,788000
2026-01-03,네이버,네이버,NV-004,13,13,151601,163700
2026-01-03,네이버,네이버,NV-006,4,4,54873,59000
2026-01-03,네이버,네이버,NV-008,12,12,297937,323240
2026-01-03,네이버,네이버,NV-009,5,5,59987,64500
2026-01-03,네이버,네이버,NV-010,2,2,51892,55500
2026-01-03,네이버,네이버,NV-011,1,1,10996,11760
2026-01-03,네이버,네이버,NV-012,1,1,13464,14400
2026-01-03,네이버,네이버,NV-013,1,1,13635,14900
2026-01-03,네이버,네이버,NV-014,1,1,15455,16890
2026-01-03,네이버,네이버,NV-016,5,5,81761,89260
2026-01-03,네이버,네이버,NV-017,3,3,50797,53850
2026-01-03,네이버,네이버,NV-020,3,3,53614,57750
2026-01-03,네이버,네이버,NV-025,2,2,63268,68400
2026-01-03,네이버,네이버,NV-026,2,2,18243,19720
2026-01-03,네이버,네이버,NV-029,1,1,11127,11900
2026-01-03,네이버,네이버,NV-030,3,3,60993,65700
2026-01-03,네이버,네이버,NV-033,1,2,27864,29800
2026-01-03,네이버,네이버,NV-034,3,3,40902,44700
2026-01-03,네이버,네이버,NV-035,1,1,3162,3400
2026-01-03,네이버,네이버,SHIP,105,0,310409,320000
2026-01-04,네이버,네이버,NV-002,23,23,309952,332800
2026-01-04,네이버,네이버,NV-003,87,86,1476015,1594400
2026-01-04,네이버,네이버,NV-004,12,12,146407,158700
2026-01-04,네이버,네이버,NV-005,2,2,25309,27300
2026-01-04,네이버,네이버,NV-006,8,8,108774,117260
2026-01-04,네이버,네이버,NV-007,1,1,9257,9900
2026-01-04,네이버,네이버,NV-008,22,21,526267,568050
2026-01-04,네이버,네이버,NV-009,8,8,95207,103200
2026-01-04,네이버,네이버,NV-010,2,2,39804,43500
2026-01-04,네이버,네이버,NV-012,4,4,53281,57600
2026-01-04,네이버,네이버,NV-013,1,1,12948,14150
2026-01-04,네이버,네이버,NV-016,7,7,101934,110360
2026-01-04,네이버,네이버,NV-018,3,3,34845,37530
2026-01-04,네이버,네이버,NV-019,1,1,13932,14900
2026-01-04,네이버,네이버,NV-020,5,5,88842,96250
2026-01-04,네이버,네이버,NV-023,2,2,25778,28170
2026-01-04,네이버,네이버,NV-024,1,1,11594,12400
2026-01-04,네이버,네이버,NV-025,1,1,31976,34200
2026-01-04,네이버,네이버,NV-026,4,4,41358,44440
2026-01-04,네이버,네이버,NV-027,2,2,40516,43800
2026-01-04,네이버,네이버,NV-028,5,5,160373,173840
2026-01-04,네이버,네이버,NV-030,1,1,20039,21900
2026-01-04,네이버,네이버,NV-032,2,2,50304,53800
2026-01-04,네이버,네이버,NV-035,1,3,12444,13600
2026-01-04,네이버,네이버,NV-036,2,2,30928,33800
2026-01-04,네이버,네이버,NV-037,3,3,80488,86700
2026-01-04,네이버,네이버,NV-038,1,1,21594,23600
2026-01-04,네이버,네이버,NV-039,1,1,13634,14900
2026-01-04,네이버,네이버,SHIP,171,0,506360,522000
2026-01-05,네이버,네이버,NV-002,26,26,758069,820510
2026-01-05,네이버,네이버,NV-003,89,87,1403876,1518660
2026-01-05,네이버,네이버,NV-004,8,8,81300,88200
2026-01-05,네이버,네이버,NV-005,4,4,49565,53350
2026-01-05,네이버,네이버,NV-006,11,12,161454,173300
2026-01-05,네이버,네이버,NV-007,11,11,131644,142410
2026-01-05,네이버,네이버,NV-008,24,24,588641,634600
2026-01-05,네이버,네이버,NV-009,13,13,163805,177360
2026-01-05,네이버,네이버,NV-010,4,4,90711,97610
2026-01-05,네이버,네이버,NV-012,2,2,25694,28080
2026-01-05,네이버,네이버,NV-013,1,1,13177,14400
2026-01-05,네이버,네이버,NV-016,5,4,54739,58700
2026-01-05,네이버,네이버,NV-018,7,7,79762,85810
2026-01-05,네이버,네이버,NV-019,3,3,41095,43950
2026-01-05,네이버,네이버,NV-020,7,8,140140,151090
2026-01-05,네이버,네이버,NV-025,1,1,31976,34200
2026-01-05,네이버,네이버,NV-026,6,5,54266,59300
2026-01-05,네이버,네이버,NV-027,2,1,33566,35900
2026-01-05,네이버,네이버,NV-028,6,7,156493,170570
2026-01-05,네이버,네이버,NV-031,1,1,23862,25520
2026-01-05,네이버,네이버,NV-032,1,1,25152,26900
2026-01-05,네이버,네이버,NV-034,1,2,26582,29050
2026-01-05,네이버,네이버,NV-037,1,1,26444,28900
2026-01-05,네이버,네이버,NV-038,1,1,21594,23600
2026-01-05,네이버,네이버,NV-040,1,0,0,0
2026-01-05,네이버,네이버,SHIP,196,0,573293,591000
2026-01-06,네이버,네이버,NV-002,36,35,684131,742290
2026-01-06,네이버,네이버,NV-003,83,84,1399122,1517270
2026-01-06,네이버,네이버,NV-004,10,10,112384,121750
2026-01-06,네이버,네이버,NV-005,3,3,35390,38200
2026-01-06,네이버,네이버,NV-006,12,11,147117,158550
2026-01-06,네이버,네이버,NV-007,6,6,47567,51400
2026-01-06,네이버,네이버,NV-008,31,31,774508,837880
2026-01-06,네이버,네이버,NV-009,16,15,208789,226510
2026-01-06,네이버,네이버,NV-010,1,1,25391,27750
2026-01-06,네이버,네이버,NV-012,2,2,26111,28220
2026-01-06,네이버,네이버,NV-013,3,3,29639,32150
2026-01-06,네이버,네이버,NV-015,2,2,22483,24300
2026-01-06,네이버,네이버,NV-016,4,4,52501,56860
2026-01-06,네이버,네이버,NV-017,1,1,16197,17050
2026-01-06,네이버,네이버,NV-018,6,6,78923,85180
2026-01-06,네이버,네이버,NV-019,1,1,6771,7400
2026-01-06,네이버,네이버,NV-020,6,7,350654,381590
2026-01-06,네이버,네이버,NV-022,2,2,30472,32950
2026-01-06,네이버,네이버,NV-025,2,2,63953,68400
2026-01-06,네이버,네이버,NV-026,6,6,79256,85780
2026-01-06,네이버,네이버,NV-028,2,2,39184,42370
2026-01-06,네이버,네이버,NV-030,3,2,40058,43300
2026-01-06,네이버,네이버,NV-032,1,1,50302,53800
2026-01-06,네이버,네이버,NV-034,1,1,13176,14400
2026-01-06,네이버,네이버,NV-036,2,2,30014,32450
2026-01-06,네이버,네이버,NV-037,1,1,25666,27450
2026-01-06,네이버,네이버,SHIP,195,0,552924,570000
2026-01-07,네이버,네이버,NV-002,42,41,497902,536850
2026-01-07,네이버,네이버,NV-003,75,75,1637314,1772700
2026-01-07,네이버,네이버,NV-004,11,10,107764,116500
2026-01-07,네이버,네이버,NV-005,1,1,9678,10350
2026-01-07,네이버,네이버,NV-006,15,16,218446,235500
2026-01-07,네이버,네이버,NV-007,4,4,40866,44500
2026-01-07,네이버,네이버,NV-008,27,25,608849,655030
2026-01-07,네이버,네이버,NV-009,5,5,58348,63200
2026-01-07,네이버,네이버,NV-010,2,2,39661,43000
2026-01-07,네이버,네이버,NV-012,2,2,25983,28080
2026-01-07,네이버,네이버,NV-013,3,3,34098,36700
2026-01-07,네이버,네이버,NV-016,1,1,15989,17100
