월,상품코드,상품명,발주수량,입고수량,총매출,원가,미납금액
2026-01,18464826,"올투게더나우 무릎 보호대, 블랙",30,30,185250,66000,0
2026-01,19201601,"물리치료사 판매하는 올투게더나우 디스크 허리보호대 복대, L + 마사지볼",6,0,0,0,75402
2026-01,19201606,"물리치료사 판매하는 올투게더나우 디스크 허리보호대 복대, M + 마사지볼",2,0,0,0,25134
2026-01,50211051,올투게더나우 실리콘 손목 보호대 2개 18g 15*8*6.5cm,150,150,784650,180000,0
2026-01,50330434,"올투게더나우 디스크 바른요 허리보호대 허리 복대 지지대, M, 1개",5,0,0,0,73215
2026-01,50330436,"올투게더나우 디스크 바른요 허리보호대 허리 복대 지지대, L, 1개",5,0,0,0,73215
2026-01,50330437,"올투게더나우 디스크 바른요 허리보호대 허리 복대 지지대, XL, 1개",15,0,0,0,231000
2026-01,50689399,올투게더나우 족저근막 아치 깔창 2p 2set M ( 225~ 245mm),1,0,0,0,4200
2026-02,16585728,"물리치료사가 추천하는 2p 손목 보호대, 1개",16,16,78480,24000,0
2026-02,18464826,"올투게더나우 무릎 보호대, 블랙",27,27,166725,59400,0
2026-02,19201601,"물리치료사 판매하는 올투게더나우 디스크 허리보호대 복대, L + 마사지볼",6,6,75402,45000,0
2026-02,19201606,"물리치료사 판매하는 올투게더나우 디스크 허리보호대 복대, M + 마사지볼",2,2,25134,15000,0
2026-02,50211051,올투게더나우 실리콘 손목 보호대 2개 18g 15*8*6.5cm,90,90,470790,108000,0
2026-03,16585728,"물리치료사가 추천하는 2p 손목 보호대, 1개",38,38,186390,57000,0
2026-03,16585729,"올투게더나우 블랙 엘보 보호대, 1개",15,15,92835,33000,0
2026-03,18464826,"올투게더나우 무릎 보호대, 블랙",132,132,815100,290400,0
2026-03,19201601,"물리치료사 판매하는 올투게더나우 디스크 허리보호대 복대, L + 마사지볼",10,10,125670,75000,0
2026-03,19201606,"물리치료사 판매하는 올투게더나우 디스크 허리보호대 복대, M + 마사지볼",22,22,276474,165000,0
2026-03,50211051,올투게더나우 실리콘 손목 보호대 2개 18g 15*8*6.5cm,90,90,470790,108000,0
2026-03,50689397,올투게더나우 족저근막 아치 깔창 2p 1set M ( 225~ 245mm),1,1,4160,500,0
2026-04,16585728,"물리치료사가 추천하는 2p 손목 보호대, 1개",36,36,176400,54000,0
2026-04,16585729,"올투게더나우 블랙 엘보 보호대, 1개",20,20,123600,44000,0
