날짜,계정,발주건수,판매량,총매출,원가,원가미상수량,발주금액,미납금액
2026-01-06,로켓배송,1,18,111150,0,18,111150,0
2026-01-08,로켓배송,1,12,74100,0,12,274998,200898
2026-01-10,로켓배송,1,30,156930,0,30,387930,231000
2026-01-15,로켓배송,1,30,156930,0,30,156930,0
2026-01-16,로켓배송,1,30,156930,0,30,182064,25134
2026-01-22,로켓배송,1,30,156930,0,30,156930,0
2026-01-28,로켓배송,1,30,156930,0,30,182064,25134
2026-02-04,로켓배송,1,30,156930,0,30,156930,0
2026-02-05,로켓배송,1,4,34944,0,4,34944,0
2026-02-06,로켓배송,1,4,34944,0,4,34944,0
2026-02-12,로켓배송,1,4,50268,0,4,50268,0
2026-02-14,로켓배송,1,32,166740,0,32,166740,0
2026-02-26,로켓배송,2,59,333465,0,59,333465,0
2026-02-27,로켓배송,1,8,39240,0,8,39240,0
2026-03-05,로켓배송,1,4,34944,0,4,34944,0
2026-03-06,로켓배송,2,55,337610,0,55,337610,0
2026-03-07,로켓배송,1,6,75402,0,6,75402,0
2026-03-10,로켓배송,1,19,127569,0,19,127569,0
2026-03-11,로켓배송,1,8,39240,0,8,39240,0
2026-03-12,로켓배송,1,30,156930,0,30,156930,0
2026-03-13,로켓배송,2,37,261747,0,37,261747,0
2026-03-17,로켓배송,1,14,83910,0,14,83910,0
2026-03-18,로켓배송,2,18,195558,0,18,195558,0
2026-03-19,로켓배송,4,57,326349,0,57,326349,0
2026-03-23,로켓배송,1,12,74100,0,12,74100,0
2026-03-27,로켓배송,2,38,196170,0,38,196170,0
2026-03-28,로켓배송,1,10,61890,0,10,61890,0
2026-04-02,로켓배송,1,21,117825,0,21,117825,0
2026-04-07,로켓배송,2,15,87550,0,15,87550,0
2026-04-08,로켓배송,2,12,58800,0,12,58800,0
2026-04-09,로켓배송,2,104,630938,0,104,630938,0
2026-04-10,로켓배송,1,69,426075,0,69,426075,0
2026-04-15,로켓배송,1,30,156000,0,30,156000,0
2026-04-16,로켓배송,1,32,165800,0,32,165800,0
2026-04-17,로켓배송,1,6,29400,0,6,29400,0
2026-04-23,로켓배송,2,53,293354,0,53,293354,0
2026-04-24,로켓배송,1,8,39200,0,8,39200,0
2026-05-02,로켓배송,1,5,20580,0,5,20580,0
2026-05-03,로켓배송,2,45,247110,0,45,247110,0
2026-05-04,로켓배송,1,30,156000,0,30,156000,0
2026-05-13,로켓배송,2,24,145776,0,24,145776,0
2026-05-14,로켓배송,2,60,312000,0,60,312000,0
2026-05-19,로켓배송,1,7,45750,0,7,45750,0
2026-05-28,로켓배송,1,35,199222,0,35,199222,0
2026-06-02,로켓배송,1,6,36444,0,6,36444,0
2026-06-04,로켓배송,2,42,228888,0,42,228888,0
2026-06-08,로켓배송,1,12,72888,0,12,72888,0
2026-06-09,로켓배송,4,54,326708,0,54,326708,0
2026-06-12,로켓배송,1,6,44600,0,6,44600,0
2026-06-16,로켓배송,1,5,28022,0,5,28022,0
2026-06-20,로켓배송,1,200,2460000,880000,0,2460000,0
2026-06-21,로켓배송,1,6,36444,0,6,36444,0
2026-06-23,로켓배송,1,799,5273400,2956300,0,5280000,6600
2026-06-28,로켓배송,1,6,29400,0,6,29400,0
2026-07-01,로켓배송,1,800,5280000,2960000,0,5280000,0
2026-07-02,로켓배송,1,30,156000,0,30,156000,0
2026-07-03,로켓배송,1,200,2460000,880000,0,2460000,0
2026-07-05,로켓배송,1,5,20900,0,5,20900,0
2026-07-08,로켓배송,1,19,149266,0,19,149266,0
2026-07-09,로켓배송,2,41,220466,0,41,220466,0
2026-07-11,로켓배송,1,18,109332,0,18,109332,0
2026-07-17,로켓배송,1,0,0,0,0,5280000,5280000
2026-07-23,로켓배송,1,800,5280000,2960000,0,5280000,0
2026-07-31,로켓배송,1,6,29400,0,6,29400,0
2026-08-02,로켓배송,2,36,185400,0,36,185400,0
2026-08-06,로켓배송,1,800,5280000,2960000,0,5280000,0
2026-08-07,로켓배송,1,12,58800,0,12,58800,0
2026-08-09,로켓배송,1,198,2435400,871200,0,2460000,24600
2026-08-16,로켓배송,1,30,156000,0,30,156000,0
2026-08-20,로켓배송,5,317,2056303,1128500,12,2056303,0
2026-08-23,로켓배송,1,69,448707,255300,0,448707,0
2026-08-25,로켓배송,3,71,528901,271100,0,528901,0
2026-08-27,로켓배송,1,27,175581,99900,0,175581,0
2026-08-28,로켓배송,3,0,0,0,0,2174545,2174545
2026-09-01,로켓배송,3,240,1611111,894300,0,1617614,6503
2026-09-04,로켓배송,2,0,0,0,0,426414,426414
