월,상품번호,옵션정보,수량,원가합계
2026-01,10253686730,수량: 1p,3,8100
2026-01,10253686730,수량: 2p,5,27000
2026-01,10463137662,사이즈: S-M,8,0
2026-01,11017176082,고급 쇼핑백 (소): 쇼핑백(소),1,0
2026-01,11017176082,색상: 라벤더,1,0
2026-01,12774184689,수량: 1세트,25,112500
2026-01,12774184689,수량: 2세트,4,18000
2026-01,12956712644,사이즈: L / 수량: 1p,26,0
2026-01,12956712644,사이즈: L / 수량: 2p,19,102600
2026-01,12956712644,사이즈: M / 수량: 1p,37,0
2026-01,12956712644,사이즈: M / 수량: 2p,9,48600
2026-01,12956712644,사이즈: S / 수량: 1p,17,0
2026-01,12956712644,사이즈: S / 수량: 2p,3,16200
2026-01,12956712644,사이즈: XL / 수량: 1p,10,0
2026-01,12956712644,사이즈: XL / 수량: 2p,7,0
2026-01,4845158048,옵션: 양팔 블랙 상세페이지 링크로 구매시 사은품제공,2,0
2026-01,4845158048,옵션: 양팔 블루,1,0
2026-01,4845158048,옵션: 한팔 블랙 상세페이지 링크로 구매시 사은품제공,3,0
2026-01,4911599710,종류: 땅콩 / 컬러: 블랙,5,0
2026-01,4911599710,종류: 땅콩 / 컬러: 블루,2,0
2026-01,4911599710,종류: 땅콩 / 컬러: 핑크,2,0
2026-01,4911599710,종류: 싱글 / 컬러: 블랙,1,0
2026-01,4911599710,종류: 싱글 / 컬러: 핑크,1,0
2026-01,4973726723,사이즈: 양쪽 L(250~270),12,32400
2026-01,4973726723,사이즈: 양쪽 M(225~245),16,43200
2026-01,5003259611,컬러: 레드,8,17600
2026-01,5003259611,컬러: 블루,28,61600
2026-01,5024717901,사이즈: L,56,420000
2026-01,5024717901,사이즈: M,14,105000
2026-01,5024717901,사이즈: XL,65,487500
2026-01,5024717901,엘보 보호대 + 악력기: 블랙 한팔,1,7500
2026-01,5299145323,사이즈: L,10,0
2026-01,5299145323,사이즈: M,8,0
2026-01,5299145323,사이즈: XL,3,0
2026-01,5299145323,손목보호대 1쌍 + 마사지볼: 블랙,1,0
2026-01,5299145323,슬개건 무릎보호대 + 마사지볼: 블랙 한쪽,2,0
2026-01,5355270179,,13,31200
2026-01,5355270179,중급 허리보호대 + 마사지볼: M,1,2400
2026-01,5415180339,좌우 선택: 양쪽,2,4000
2026-01,5415180339,좌우 선택: 좌,2,4000
2026-01,5524199797,바른요 허리보호대: S,1,2100
2026-01,5524199797,수량: 아치패드 1쌍 블랙 + 마사지볼,15,31500
2026-01,5524199797,수량: 아치패드 1쌍 스킨 + 마사지볼,37,77700
2026-01,5524199797,수량: 아치패드 2쌍 블랙 + 마사지볼,27,56700
2026-01,5524199797,수량: 아치패드 2쌍 블랙+ 스킨 + 마사지볼,10,21000
2026-01,5524199797,수량: 아치패드 2쌍 스킨 + 마사지볼,16,33600
2026-01,5524199797,슬개건 무릎 보호대 + 마사지볼: 블랙 한쪽,7,14700
2026-01,5524199797,쫀쫀 손목보호대 1쌍: 블랙,1,2100
2026-01,5567864358,손 방향: 왼손 / 사이즈: L,1,0
2026-01,5595025105,수량: 1쌍 / 사이즈: L,3,14400
2026-01,5595025105,수량: 1쌍 / 사이즈: M,11,52800
2026-01,5595025105,수량: 1쌍 / 사이즈: S,1,4800
2026-01,5595025105,수량: 1쌍 / 사이즈: XL,1,4800
2026-01,5614734297,바른요 허리보호대: L,1,0
2026-01,5614734297,수량: 블랙 양쪽,67,388600
2026-01,5614734297,수량: 블랙 한쪽,14,40600
2026-01,5629504025,사이즈: L / 컬러: 레드,3,16800
2026-01,5629504025,사이즈: L / 컬러: 블랙,2,11200
2026-01,5629504025,사이즈: M / 컬러: 레드,1,5600
2026-01,5629504025,사이즈: M / 컬러: 블랙,6,33600
2026-01,5654660417,컬러: 블랙 / 수량: 양팔,4,21600
2026-01,5654660417,컬러: 블랙 / 수량: 한팔,7,29400
2026-01,5654660417,컬러: 블루 / 수량: 한팔,1,4200
2026-01,5798987044,색상: 레드 양팔 + 마사지볼,1,3700
2026-01,5798987044,색상: 레드 양팔 + 악력기,1,3700
2026-01,5798987044,색상: 레드 한팔 + 악력기,1,2200
2026-01,5798987044,색상: 블랙 양팔 + 마사지볼,78,288600
2026-01,5798987044,색상: 블랙 양팔 + 악력기,34,125800
2026-01,5798987044,색상: 블랙 한팔 + 마사지볼,158,347600
2026-01,5798987044,색상: 블랙 한팔 + 악력기,65,143000
2026-01,5798987044,색상: 블루 양팔 + 마사지볼,4,14800
2026-01,5798987044,색상: 블루 양팔 + 악력기,3,11100
2026-01,5798987044,색상: 블루 한팔 + 마사지볼,4,8800
2026-01,5798987044,색상: 블루 한팔 + 악력기,2,4400
2026-01,5799070116,바른요 허리보호대: L,3,0
2026-01,5799070116,바른요 허리보호대: M,2,0
2026-01,5799070116,바른요 허리보호대: S,1,0
2026-01,5799070116,바른요 허리보호대: XL,1,0
2026-01,5799070116,색상: 레드 + 마사지볼 / 수량: 양쪽,40,148000
2026-01,5799070116,색상: 레드 + 마사지볼 / 수량: 한쪽,1,2200
2026-01,5799070116,색상: 블랙 + 마사지볼 / 수량: 양쪽,1886,6978200
2026-01,5799070116,색상: 블랙 + 마사지볼 / 수량: 한쪽,186,409200
2026-01,5799070116,색상: 블루 + 마사지볼 / 수량: 양쪽,55,203500
2026-01,5799070116,색상: 블루 + 마사지볼 / 수량: 한쪽,8,17600
2026-01,5799070116,아치패드 + 마사지볼: 1쌍,22,0
2026-01,5799070116,쫀쫀 손목보호대: 블랙 1쌍,30,36000
2026-01,5815680678,컬러: 블랙 / 사이즈: M / 좌우: 오른쪽,4,14800
2026-01,5815680678,컬러: 블랙 / 사이즈: M / 좌우: 왼쪽,7,25900
2026-01,5815680678,컬러: 블랙 / 사이즈: S / 좌우: 오른쪽,2,7400
2026-01,5815680678,컬러: 블랙 / 사이즈: S / 좌우: 왼쪽,2,7400
2026-01,5815680678,컬러: 아이보리 / 사이즈: L / 좌우: 오른쪽,2,7400
2026-01,5815680678,컬러: 아이보리 / 사이즈: L / 좌우: 왼쪽,1,3700
2026-01,5968275643,사이즈: M,1,8000
2026-01,5968275643,사이즈: XL,1,8000
2026-01,5970351139,컬러: 블랙 / 수량: 양쪽,4,10800
