상품번호,옵션정보,원가,메모
5799070116,✅ 족부 아치 깔창 1쌍: L(250~275mm),500,대표 지정 2026-09-02
12956712644,사이즈: M / 수량: 2p,5400,대표 지정 2026-09-02
5799070116,✅ 족부 아치 깔창 1쌍: M(225~245mm),500,대표 지정 2026-09-02
6520261103,방향: 오른쪽,4500,대표 지정 2026-09-02
5798987044,색상: 블랙 한팔 + 악력기,2200,대표 지정 2026-09-02
5799070116,추가용 찍찍이 스트랩: 블랙 1쌍,700,대표 지정 2026-09-02
5798987044,⭐추가용 찍찍이 스트랩: 블랙,700,대표 지정 2026-09-02
9046294613,사이즈: M / 수량: 양쪽,5400,대표 지정 2026-09-02
5799070116,아치업 깔창: L(250 ~ 275mm),500,대표 확인 2026-09-02 (족부 아치 깔창과 동일)
6520261103,방향: 왼쪽,4500,대표 확인 2026-09-02 (오른쪽과 동일)
