기간,단위,계정,항목,금액
2026-07-01,일,올투게더나우,광고비(SELLER),55043
2026-07-02,일,올투게더나우,광고비(SELLER),48601
2026-07-03,일,올투게더나우,광고비(SELLER),38262
2026-07-04,일,올투게더나우,광고비(SELLER),34749
2026-07-05,일,올투게더나우,광고비(SELLER),35700
2026-07-06,일,올투게더나우,광고비(SELLER),37124
2026-07-07,일,올투게더나우,광고비(SELLER),28092
2026-07-08,일,올투게더나우,광고비(SELLER),39456
2026-07-09,일,올투게더나우,광고비(SELLER),35356
2026-07-10,일,올투게더나우,광고비(SELLER),44992
2026-07-11,일,올투게더나우,광고비(SELLER),46569
2026-07-12,일,올투게더나우,광고비(SELLER),44513
2026-07-13,일,올투게더나우,광고비(SELLER),47498
2026-07-14,일,올투게더나우,광고비(SELLER),41273
2026-07-15,일,올투게더나우,광고비(SELLER),45700
2026-07-16,일,올투게더나우,광고비(SELLER),36267
2026-07-17,일,올투게더나우,광고비(SELLER),41373
2026-07-18,일,올투게더나우,광고비(SELLER),54911
2026-07-19,일,올투게더나우,광고비(SELLER),45475
2026-07-20,일,올투게더나우,광고비(SELLER),36254
2026-07-21,일,올투게더나우,광고비(SELLER),41015
2026-07-22,일,올투게더나우,광고비(SELLER),42764
2026-07-23,일,올투게더나우,광고비(SELLER),41112
2026-07-24,일,올투게더나우,광고비(SELLER),51026
2026-07-25,일,올투게더나우,광고비(SELLER),54847
2026-07-26,일,올투게더나우,광고비(SELLER),49125
2026-07-27,일,올투게더나우,광고비(SELLER),55633
2026-07-28,일,올투게더나우,광고비(SELLER),60455
2026-07-29,일,올투게더나우,광고비(SELLER),52852
2026-07-30,일,올투게더나우,광고비(SELLER),37428
2026-07-31,일,올투게더나우,광고비(SELLER),36475
2026-08-01,일,올투게더나우,광고비(SELLER),50360
2026-08-02,일,올투게더나우,광고비(SELLER),47659
2026-08-03,일,올투게더나우,광고비(SELLER),40235
2026-08-04,일,올투게더나우,광고비(SELLER),43542
2026-08-05,일,올투게더나우,광고비(SELLER),57042
2026-08-06,일,올투게더나우,광고비(SELLER),48807
2026-08-07,일,올투게더나우,광고비(SELLER),29247
2026-08-08,일,올투게더나우,광고비(SELLER),42037
2026-08-09,일,올투게더나우,광고비(SELLER),31941
2026-08-10,일,올투게더나우,광고비(SELLER),47855
2026-08-11,일,올투게더나우,광고비(SELLER),40179
2026-08-12,일,올투게더나우,광고비(SELLER),36339
2026-08-13,일,올투게더나우,광고비(SELLER),41735
2026-08-14,일,올투게더나우,광고비(SELLER),40582
2026-08-15,일,올투게더나우,광고비(SELLER),30651
2026-08-16,일,올투게더나우,광고비(SELLER),48156
2026-08-17,일,올투게더나우,광고비(SELLER),41263
2026-08-18,일,올투게더나우,광고비(SELLER),41447
2026-08-19,일,올투게더나우,광고비(SELLER),45630
2026-08-20,일,올투게더나우,광고비(SELLER),54036
2026-08-21,일,올투게더나우,광고비(SELLER),45842
2026-08-22,일,올투게더나우,광고비(SELLER),42415
2026-08-23,일,올투게더나우,광고비(SELLER),69473
2026-08-24,일,올투게더나우,광고비(SELLER),75332
2026-08-25,일,올투게더나우,광고비(SELLER),63316
2026-08-26,일,올투게더나우,광고비(SELLER),60849
2026-08-27,일,올투게더나우,광고비(SELLER),41593
2026-08-28,일,올투게더나우,광고비(SELLER),43096
2026-08-29,일,올투게더나우,광고비(SELLER),35004
2026-08-30,일,올투게더나우,광고비(SELLER),39516
2026-08-31,일,올투게더나우,광고비(SELLER),61081
2026-09-01,일,올투게더나우,광고비(SELLER),54412
2026-01,월,올투게더나우,광고비(SELLER),1290478
2026-02,월,올투게더나우,광고비(SELLER),1259668
2026-03,월,올투게더나우,광고비(SELLER),2416495
2026-04,월,올투게더나우,광고비(SELLER),3373954
2026-05,월,올투게더나우,광고비(SELLER),3460250
2026-06,월,올투게더나우,광고비(SELLER),3130034
2026-07-01,일,유큐어,광고비(ROCKETGROWTH),226655
2026-07-01,일,유큐어,광고비(SELLER),3868
2026-07-02,일,유큐어,광고비(ROCKETGROWTH),206464
2026-07-02,일,유큐어,광고비(SELLER),9844
2026-07-03,일,유큐어,광고비(ROCKETGROWTH),221613
2026-07-03,일,유큐어,광고비(SELLER),1590
2026-07-04,일,유큐어,광고비(ROCKETGROWTH),197960
2026-07-04,일,유큐어,광고비(SELLER),7674
2026-07-05,일,유큐어,광고비(ROCKETGROWTH),227267
2026-07-05,일,유큐어,광고비(SELLER),2991
2026-07-06,일,유큐어,광고비(ROCKETGROWTH),226283
2026-07-06,일,유큐어,광고비(SELLER),2828
2026-07-07,일,유큐어,광고비(ROCKETGROWTH),205556
2026-07-07,일,유큐어,광고비(SELLER),9837
2026-07-08,일,유큐어,광고비(ROCKETGROWTH),213518
2026-07-08,일,유큐어,광고비(SELLER),4474
2026-07-09,일,유큐어,광고비(ROCKETGROWTH),190794
2026-07-09,일,유큐어,광고비(SELLER),8600
