월,계정,상품명,옵션명,매출,주문,판매량,원가합계
2026-01,올투게더나우,물리치료사가 판매하는 올투게더나우 4세대 영자 무릎보호대 아대 블랙,"물리치료사가 판매하는 올투게더나우 4세대 영자 무릎보호대 아대 블랙, M, 2개",382150,15,16,64000
2026-01,올투게더나우,물리치료사가 판매하는 올투게더나우 4세대 영자 무릎보호대 아대 블랙,"물리치료사가 판매하는 올투게더나우 4세대 영자 무릎보호대 아대 블랙, XL, 1개",163900,11,11,22000
2026-01,올투게더나우,물리치료사가 판매하는 올투게더나우 모든 손가락 보호대,"물리치료사가 판매하는 올투게더나우 모든 손가락 보호대, 1개, L",62000,5,5,17000
2026-01,올투게더나우,물리치료사가 판매하는 올투게더나우 모든 손가락 보호대,"물리치료사가 판매하는 올투게더나우 모든 손가락 보호대, 1개, S",62000,5,5,17000
2026-01,올투게더나우,물리치료사가 판매하는 올투게더나우 모든 손가락 보호대,"물리치료사가 판매하는 올투게더나우 모든 손가락 보호대, 2개, S",19800,1,1,6800
2026-01,올투게더나우,물리치료사가 판매하는 올투게더나우 손목보호대,"물리치료사가 판매하는 올투게더나우 손목보호대, 오른손 L, 1개",9800,1,1,0
2026-01,올투게더나우,물리치료사가 판매하는 올투게더나우 실리콘 손목 보호대,"물리치료사가 판매하는 올투게더나우 실리콘 손목 보호대, 1개",7400,1,1,2400
2026-01,올투게더나우,물리치료사가 판매하는 올투게더나우 컨시더 팔꿈치보호대,"물리치료사가 판매하는 올투게더나우 컨시더 팔꿈치보호대, 블랙, 1개",64600,4,4,11200
2026-01,올투게더나우,물리치료사가 판매하는 올투게더나우 컨시더 팔꿈치보호대,"물리치료사가 판매하는 올투게더나우 컨시더 팔꿈치보호대, 블루, 1개",24800,2,2,5600
2026-01,올투게더나우,보호대연구소 쫀쫀 손목 보호대 아대 2p,"보호대연구소 쫀쫀 손목 보호대 아대 2p, 블랙, 1세트, free",340200,18,18,21600
2026-01,올투게더나우,앞날창창 무릎보호대 블랙,"앞날창창 무릎보호대 블랙, XL, 2개",23650,1,1,0
2026-01,올투게더나우,어깨 보정 밴드,"어깨 보정 밴드, 왼쪽, 1개, FREE",89400,6,6,27000
2026-01,올투게더나우,올투게더나우 4세대 영자 무릎보호대 아대,"올투게더나우 4세대 영자 무릎보호대 아대, L, 1개",104300,7,7,14000
2026-01,올투게더나우,올투게더나우 8세대 영자 무릎 보호대 아대,"올투게더나우 8세대 영자 무릎 보호대 아대, 1개, L",47700,3,3,8100
2026-01,올투게더나우,올투게더나우 8세대 영자 무릎 보호대 아대,"올투게더나우 8세대 영자 무릎 보호대 아대, 1개, M",15900,1,1,2700
2026-01,올투게더나우,올투게더나우 8세대 영자 무릎 보호대 아대,"올투게더나우 8세대 영자 무릎 보호대 아대, 1개, XL",31800,2,2,5400
2026-01,올투게더나우,올투게더나우 8세대 영자 무릎 보호대 아대,"올투게더나우 8세대 영자 무릎 보호대 아대, 2개, L",53800,2,2,10800
2026-01,올투게더나우,올투게더나우 8세대 영자 무릎 보호대 아대,"올투게더나우 8세대 영자 무릎 보호대 아대, 2개, M",188300,6,7,37800
2026-01,올투게더나우,올투게더나우 8세대 영자 무릎 보호대 아대,"올투게더나우 8세대 영자 무릎 보호대 아대, 2개, XL",26900,1,1,5400
2026-01,올투게더나우,올투게더나우 가벼운 허리보호대 복대,"올투게더나우 가벼운 허리보호대 복대, L, 1개",33900,2,2,0
2026-01,올투게더나우,올투게더나우 강력 압박 스트랩 손목 보호대 아대,"올투게더나우 강력 압박 스트랩 손목 보호대 아대, FREE, 2p",37800,2,2,10800
2026-01,올투게더나우,올투게더나우 관절 압박 손목 보호대 아대 블랙,"올투게더나우 관절 압박 손목 보호대 아대 블랙, 1개",25800,2,2,5400
2026-01,올투게더나우,올투게더나우 관절 압박 손목 보호대 아대 블랙,"올투게더나우 관절 압박 손목 보호대 아대 블랙, 2개",56700,3,3,16200
2026-01,올투게더나우,올투게더나우 관절 압박 손목보호대 아대 핑크,"올투게더나우 관절 압박 손목보호대 아대 핑크, 2개",37800,2,2,10800
2026-01,올투게더나우,올투게더나우 다이얼 압박 무릎 보호대 아대,"올투게더나우 다이얼 압박 무릎 보호대 아대, 1개, L(무릎둘레 44~48)",29800,1,1,0
2026-01,올투게더나우,올투게더나우 다이얼 압박 무릎 보호대 아대,"올투게더나우 다이얼 압박 무릎 보호대 아대, 2개, L(무릎둘레 44~48)",54900,1,1,0
2026-01,올투게더나우,올투게더나우 다이얼 압박 무릎 보호대 아대,"올투게더나우 다이얼 압박 무릎 보호대 아대, 2개, M(무릎둘레 40~44)",54900,1,1,0
2026-01,올투게더나우,올투게더나우 리뉴얼 4세대 영자 무릎 보호대 아대 블랙,"올투게더나우 리뉴얼 4세대 영자 무릎 보호대 아대 블랙, L, 2개",273900,11,11,44000
2026-01,올투게더나우,올투게더나우 리뉴얼 4세대 영자 무릎 보호대 아대 블랙,"올투게더나우 리뉴얼 4세대 영자 무릎 보호대 아대 블랙, M, 1개",44700,3,3,6000
2026-01,올투게더나우,올투게더나우 리뉴얼 4세대 영자 무릎 보호대 아대 블랙,"올투게더나우 리뉴얼 4세대 영자 무릎 보호대 아대 블랙, XL, 2개",224100,9,9,36000
2026-01,올투게더나우,올투게더나우 리뉴얼 4세대 영자 무릎 보호대 아대 화이트,"올투게더나우 리뉴얼 4세대 영자 무릎 보호대 아대 화이트, 2개, M",74700,3,3,12000
2026-01,올투게더나우,올투게더나우 목 보호대 밴드,"올투게더나우 목 보호대 밴드, 1개, M",38700,3,3,9900
2026-01,올투게더나우,올투게더나우 바른요 허리보호대 복대 마사지볼 세트,"올투게더나우 바른요 허리보호대 복대 마사지볼 세트, L, 1개",115600,4,4,30000
2026-01,올투게더나우,올투게더나우 바른요 허리보호대 복대 마사지볼 세트,"올투게더나우 바른요 허리보호대 복대 마사지볼 세트, M, 1개",115600,4,4,30000
2026-01,올투게더나우,올투게더나우 바른요 허리보호대 복대 마사지볼 세트,"올투게더나우 바른요 허리보호대 복대 마사지볼 세트, S, 1개",28900,1,1,7500
2026-01,올투게더나우,올투게더나우 바른요 허리보호대 복대 마사지볼 세트,"올투게더나우 바른요 허리보호대 복대 마사지볼 세트, XL, 1개",202300,7,7,52500
2026-01,올투게더나우,올투게더나우 손목보호대 아대 2p,"올투게더나우 손목보호대 아대 2p, 1쌍 + 마사지볼, 1세트",35910,3,3,8700
2026-01,올투게더나우,올투게더나우 손목보호대 아대 2p,"올투게더나우 손목보호대 아대 2p, 1쌍 + 악력기, 1세트",11970,1,1,2900
2026-01,올투게더나우,올투게더나우 아치패드 깔창 2p 1set,"올투게더나우 아치패드 깔창 2p 1set, 1세트, 블랙",29400,3,3,6300
2026-01,올투게더나우,올투게더나우 아치패드 깔창 2p 1set,"올투게더나우 아치패드 깔창 2p 1set, 2세트, 블랙",59600,1,4,16800
2026-01,올투게더나우,올투게더나우 아치패드 깔창 2p 1set,"올투게더나우 아치패드 깔창 2p 1set, 베이지, 2세트",14900,1,1,4200
