월,계정,구분,캠페인,광고비,노출수,클릭수,전환매출,판매수량
2026-01,올투게더나우,로켓,로켓 - AI 스마트 광고 타케팅,127093,345077,488,499680,55
2026-01,올투게더나우,로켓,아치업 깔창,2259,30550,7,25120,3
2026-01,올투게더나우,셀러,리뉴얼 영자 무릎,208138,1051129,541,770050,37
2026-01,올투게더나우,셀러,스마트 상품관리,929013,3455771,11530,5112840,393
2026-01,올투게더나우,셀러,중급 허리보호대,174595,586280,634,882380,45
2026-02,올투게더나우,로켓,로켓 - AI 스마트 광고 타케팅,87229,206891,314,380630,33
2026-02,올투게더나우,로켓,아치업 깔창,799,13720,5,0,0
2026-02,올투게더나우,셀러,리뉴얼 영자 무릎,110673,480280,276,318500,15
2026-02,올투게더나우,셀러,스마트 상품관리,1077443,3352236,15820,5030710,391
2026-02,올투게더나우,셀러,엘보보호대,3900,4127,23,14800,1
2026-02,올투게더나우,셀러,중급 허리보호대,67363,257485,317,297000,15
2026-03,올투게더나우,로켓,로켓 - AI 스마트 광고 타케팅,167895,473076,557,818960,88
2026-03,올투게더나우,셀러,스마트 상품관리,1336565,5675525,16761,6403800,442
2026-03,올투게더나우,셀러,엘보보호대,1083145,1136627,8281,2388770,181
2026-04,올투게더나우,로켓,로켓 - AI 스마트 광고 타케팅,213839,529226,752,1102900,118
2026-04,올투게더나우,셀러,스마트 상품관리,1775486,7204404,18703,6521090,337
2026-04,올투게더나우,셀러,엘보보호대,1598501,1360127,9359,4227440,314
2026-05,올투게더나우,로켓,로켓 - AI 스마트 광고 타케팅,198580,392155,671,808670,87
2026-05,올투게더나우,셀러,스마트 상품관리,1786617,4894024,16833,7264880,380
2026-05,올투게더나우,셀러,엘보보호대,1398669,1231559,11808,5637700,479
